id,handle,nexternal_id,internal_memo,author,price,related_ids
11142507082,saxon-phonics-1-teachers-manual-teaching-tools-student-workbook-readers,53," Old data from V-Cart System: Web Special $97.75 Clearance $97.75 Old Promo Pages: Notes from V-Cart system: June 2006 Web Special   
 at cost on 9-2009 - for $79.97   
",,165.33,"11142507338,11142129930,11142422090"
11142507530,saxon-phonics-2-teachers-manual-teaching-tools-student-workbook-readers,54,Old data from V-Cart System: Web Special $97.75 Clearance $97.75 Old Promo Pages: Notes from V-Cart system: June 2006 Web Special,,165.33,"11142507594,11142137546"
11142507786,saxon-phonics-intervention-kit,55,Old data from V-Cart System: Web Special $89.94 Clearance $164.95 Old Promo Pages: Notes from V-Cart system: June 2006 web special (all Saxon phonics and mth),,229.91,"11142507978,11142458058,11142219082"
11142508042,saxon-phonics-k-teachers-manual-teaching-tools-student-workbook-readers,56,Old data from V-Cart System: Web Special $97.75 Clearance $97.75 Old Promo Pages: Notes from V-Cart system: June 2006 Web Special,,165.33,"11142508234,11142279306"
11142601290,the-official-sat-study-guide,57,"Street date:  May 16, 2017   ",,25.94,"11142163402,11142470154,11141994314"
11141919818,a-midsummer-night-s-dream-prestwick,58,Updated from the Dover edition to the Prestwick edition for Harvest. 5/2017,William Shakespeare,4.99,"11142583114,11142384586,11142521994"
11141920010,a-reason-for-handwriting-a-manuscript,59,Old data from V-Cart System: Web Special $9.74 Clearance $9.74 Old Promo Pages: Notes from V-Cart system: ,,15.94,"11141921226,11141920138,11141921418"
11141920138,a-reason-for-handwriting-b-manuscript,60,Old data from V-Cart System: Web Special $9.74 Clearance $9.74 Old Promo Pages: Notes from V-Cart system: ,,15.94,"11141920010,11141920330,11141920970"
11141920330,a-reason-for-handwriting-c-cursive,61,Old data from V-Cart System: Web Special $9.74 Clearance $9.74 Old Promo Pages: Notes from V-Cart system: ,,15.94,"11141920586,11141920714,11141920138"
11141920586,a-reason-for-handwriting-d-cursive,62,Old data from V-Cart System: Web Special $9.74 Clearance $9.74 Old Promo Pages: Notes from V-Cart system: ,,15.94,"11141921354,11141920330,11141920714"
11141920714,a-reason-for-handwriting-e-cursive,63,Old data from V-Cart System: Web Special $9.74 Clearance $9.74 Old Promo Pages: Notes from V-Cart system: ,,15.94,"11141921418,11141920586,11141920970"
11141920970,a-reason-for-handwriting-f-cursive,64,Old data from V-Cart System: Web Special $9.74 Clearance $9.74 Old Promo Pages: Notes from V-Cart system: ,,15.94,"11141921418,11141920714,11142268106"
11141921226,a-reason-for-handwriting-k-intro-to-manuscript,65,Old data from V-Cart System: Web Special $9.74 Clearance $9.74 Old Promo Pages: Notes from V-Cart system: ,,15.94,"11141920010,11141920970,11141920330"
11141921418,a-reason-for-handwriting-transition-between-b-and-c,66,Old data from V-Cart System: Web Special $9.74 Clearance $9.74 Old Promo Pages: Notes from V-Cart system: ,,12,"11141921354,11141920138,11141920330"
11141979210,alpha-omega-switched-on-schoolhouse-3rd-grade-complete-all-5-subjects,67,Old data from V-Cart System: Web Special $263.96 Clearance $263.96 Old Promo Pages: Notes from V-Cart system: ,,404.96,"11141970378,11141970250,11141969994"
11142015050,are-you-liberal-conservative-or-confused-2nd-edition,70,FP Special Dec. 29th 2011 for 9 bucks.   Sold none - LKR  ,Richard J. Maybury,11.47,"11142462794,11142599562,11142676234"
11142183114,easy-grammar-daily-guided-teaching-and-br-review-for-grade-2-workbook,80,Old data from V-Cart System: Web Special $9.97 Clearance $9.97 Old Promo Pages: Notes from V-Cart system: ,,12.94,"11142182602,11142201738,11142567050"
11142008458,apologia-exploring-creation-with-physical-science-mp3-audio-cd-2nd-edition,81,"Retail went up to $19. Updated retail, cost &amp; ROCK price. 01-10-12 Retail went up to $29. Updated retail, cost &amp; ROCK price. 5-9-13 DR ",,27,"11142008714,11142092682,11142534986"
11142273930,horizons-math-second-grade-boxed-set,89,Old data from V-Cart System: Web Special $61.56 Clearance $61.56 Old Promo Pages: Notes from V-Cart system: ,,80.96,"11142274506,11142274250,11141947786"
11142319114,jump-in-textbook-set-student-teacher,92,Old data from V-Cart System: Web Special $25.24 Clearance $28.24 Old Promo Pages:xyxyNew Notes from V-Cart system: ,,36,"11142318922,11142145226,11142602314"
11142373258,llatl-blue-book-package,93,Old data from V-Cart System: Web Special $65.22 Clearance $72.47 Old Promo Pages: Notes from V-Cart system: web special May 08  Reg price June 2010 72.47   ,,72.47,"11142211786,11142372938,11142373514"
11142376714,llatl-green-teachers-edition-7th-grade,95,  June 2010 reg price is $20.29   ,,20.29,"11142416778,11142540234,11141928842"
11142378570,llatl-orange-teachers-edition-4th-grade-skills,96,  June 2010 reg price is $20.29  ,,20.29,"11142378250,11142612042,11142578890"
11142379466,llatl-purple-teachers-editon-5th-grade-skills,97,  June 2010 reg price is $20.29  ,,20.29,"11142143114,11142379082,11142209418"
11142379722,llatl-red-book-package,98,  June 2010 reg price is $64.20  ,,64.2,"11142379914,11142379786,11141952266"
11142380618,llatl-tan-teachers-edition-6th-grade-skills,99,  June 2010 reg price is $20.29  ,,20.29,"11142380234,11142145738,11142592778"
11142374154,llatl-gold-book-british-literature-teacher-student-edition-high-school,100,  June 2010 reg price is $20.29  ,,20.29,"11142619658,11141991626,11141926090"
11142375050,llatl-gray-book-teachers-edition-br-8th-grade-skills,101,  June 2010 reg price is $20.29  ,,20.29,"11142190666,11141927434,11142236426"
11142381322,llatl-yellow-teachers-edition-br-3rd-grade-skills,102,  June 2010 reg price is $20.29  ,,20.29,"11142380938,11142381130,11142385866"
11142508618,saxon-physics-kit,110,Old data from V-Cart System: Web Special $52.47 Clearance $52.47 Old Promo Pages: Notes from V-Cart system: Jan. web special 2004 (3rd week only) Jan. 2004 week web special- 2nd week June 2006 Web Special,,86,"11142508682,11142168586,11142508426"
11142495114,saxon-advanced-math-kit-2nd-edition,111,Jan. web special 2004 (3rd week only) Jan. 2004 week web special- 2nd week Dec. 2005 web special (got 50% off from Harcourt) June 2006 Web Special  $53.95  is our regular selling price June 2010   ,,85.41,"11142494602,11141968714,11142109578"
11142496842,saxon-calculus-kit-second-edition,113,Old data from V-Cart System: Web Special $56.52 Clearance $56.25 Old Promo Pages: Notes from V-Cart system: ,,91.94,"11142472138,11142496330,11141997450"
11142500042,saxon-math-1-kit,114,"  Jan. web special 2004 (3rd week only) Jan. 2004 week web special- 2nd week June 2006 Web Special  
 November 08 Web special (got 55% off)    
  $72.50 our regular selling price June 2010     
",,114.48,"11142390282,11142500298,11142500234"
11142500618,saxon-math-2-kit,115,,,114.48,"11142390282,11142595274,11142501322"
11142501386,saxon-math-3-kit,116,"  Jan. web special 2004 (3rd week only) Jan. 2004 week web special- 2nd week June 2006 Web Special    
 At cost 9-2009 for $62.00   
",,117.99,"11142390282,11142501706,11142250186"
