Unique Merchant SKU,MPN/ISBN,UPC or EAN,Brand / Manufacturer,Product Name,Product URL,Current Price,Original Price,Category ID,Product Description,Image URL,Product Type,Condition,Stock Availability,Shipping Weight,Zip Code,Bundle,Related Products,
53,9781565771932,1565771931,,"Saxon Phonics 1 (Teacher's Manual, Teaching Tools, Student Workbook Readers)",https://shop.rocksolidinc.com/saxon-phonics-1-teachers-manual-teaching-tools-student-workbook-readers-p53.aspx?utm_medium=cse&utm_source=shoppingcom,165.33,183.7,,"Phonics 1 begins by teaching a new letter or letters every day, then reviewing those letters for as long as necessary. First-graders learn two letters, then begin blending words together to read, and unblending words to spell. As the children progress, they are given small books (readers) that contain words with sounds they can blend. Comprehension tests are provided to monitor progress. Activities are provided to motivate the children having the least success. Each day the children review all previous . . .",http://cdn.nexternal.com/rocksolid/images/10-00882.jpg,"Early Learning, Phonics, Saxon Phonics and Spelling K 3",New,Yes,15.38,32218,No,"2310, 556, 3337",1
54,9781565771949,,,"Saxon Phonics 2 (Teacher's Manual, Teaching Tools, Student Workbook Readers)",https://shop.rocksolidinc.com/saxon-phonics-2-teachers-manual-teaching-tools-student-workbook-readers-p54.aspx?utm_medium=cse&utm_source=shoppingcom,165.33,183.7,,"Phonics 2 begins with a quick review of vowels and consonants, then moves to decoding and reading comprehension. Second graders review all situations covered in Phonics 1, then are exposed to higher levels of comprehension, harder words to spell, an in-depth study of prefixes and suffixes and more. (l40 Lessons) SAXON PHONICS K-2 is laid out much like the other popular lower level Saxon books. Teacher's manuals are HUGE because it lays the program out step by step, telling you (the teacher) exactly . . .",http://cdn.nexternal.com/rocksolid/images/10-00883.jpg,"Early Learning, Phonics, Saxon Phonics and Spelling K 3",New,Yes,14.25,32218,No,"2311, 3519",1
55,9781565771901,,,Saxon Phonics Intervention Kit,https://shop.rocksolidinc.com/saxon-phonics-intervention-kit-p55.aspx?utm_medium=cse&utm_source=shoppingcom,229.91,255.45,,"Though developed by Lorna Simmons, author of the successful Phonics K-2 series, Phonics Intervention is not an extension of that series. Instead, it was written specifically for older, struggling students who have difficulty reading and spelling. This supplemental program is designed to ensure that no student is left behind. The program begins with a quick review of consonants and then moves to vowels, decoding, spelling, and reading comprehension. Students are taught explicit, predictable strategies . . .",http://cdn.nexternal.com/rocksolid/images/10-01907.jpg,"Early Learning, Phonics, Saxon Phonics and Spelling K 3",New,Yes,17,32218,No,"2312, 3530, 3109",1
56,9781565771925,,,"Saxon Phonics K (Teacher's Manual, Teaching Tools, Student Workbook Readers)",https://shop.rocksolidinc.com/saxon-phonics-k-teachers-manual-teaching-tools-student-workbook-readers-p56.aspx?utm_medium=cse&utm_source=shoppingcom,165.33,183.7,,"Phonics K begins by working with auditory discrimination skills to see if the children are aware of the different sounds of the English language and are ready to learn to read. When they are ready, the teacher begins by teaching the name, sound, and written form of each letter. In order to provide plenty of time for practice, one week is devoted to each letter. When a new letter is taught, students review all previously taught letters, as they do every day, to make sure they have enough exposure . . .",http://cdn.nexternal.com/rocksolid/images/10-00881.jpg,"Early Learning, Phonics, Saxon Phonics and Spelling K 3",New,Yes,9.38,32218,No,"2313, 1660",1
57,9781457309281,1457309289,,The Official SAT Study Guide,https://shop.rocksolidinc.com/the-official-sat-study-guide-p57.aspx?utm_medium=cse&utm_source=shoppingcom,25.94,28.99,,"Review every skill and question type needed for SAT success - now with eight total practice tests. The 2018 edition of The Official SAT Study Guide doubles the number of official SAT(R) practice tests to eight - all of them created by the test maker. As part of the College Board's commitment to transparency, all practice tests are available on the College Board's website, but The Official SAT Study Guide is the only place to find them in print along with over 250 pages of additional instruction . . .",http://cdn.nexternal.com/rocksolid/images/Official_SAT_Study_Guide_2018.jpg,"MORE  Much more, Testing  Critical Thinking, High School and College Entrance Prep",New,Yes,3.86,32218,No,"1272, 3068, 4215",1
58,9781580495882,9781580495882,,A Midsummer Night's Dream (Prestwick),https://shop.rocksolidinc.com/a-midsummer-nights-dream-prestwick-p58.aspx?utm_medium=cse&utm_source=shoppingcom,4.99,4.99,,"No play better exemplifies a Shakespearean comedy than does and nbsp;A Midsummer Night's Dream. All the key elements are here confused identities, the supernatural, a youthful struggle against parental control, and the frequent use of puns. This play is a delight to teach and a great way for students to learn Shakespearean conventions. Unabridged, Paperback, ISBN and nbsp;9781580495882 ",http://cdn.nexternal.com/rocksolid/images/Midsummer_Nights_Dream_Prestwick.jpg,"Language Arts, Reading, Classic Reading",New,Yes,1,32218,No,"2539, 1930, 2328",1
59,9780936785387,9780936785387,,A Reason For Handwriting A - Manuscript,https://shop.rocksolidinc.com/a-reason-for-handwriting-a---manuscript-p59.aspx?utm_medium=cse&utm_source=shoppingcom,15.94,17.95,,"This program is traditional, and uses scripture for practice. Each colorful book contains approx. 175 pages, 27 - 32 weekly lessons with writing practice pages in the back and are consumable. Level A would be 1st grade, level B is 2nd, etc. The new Transition Book is to be used as a substitute for Level B, or Level C. If you want to introduce cursive to your second grader , then you would omit Level B. If you want to wait till 3rd grade to introduce cursive, then omit Level C. In Level A, each weekly . . .",http://cdn.nexternal.com/rocksolid/images/10-85381.jpg,"Language Arts, Handwriting, Reason For Handwriting",New,Yes,1.25,32218,No,"65, 60, 66",1
60,9780936785394,9780936785394,,A Reason For Handwriting B - Manuscript,https://shop.rocksolidinc.com/a-reason-for-handwriting-b---manuscript-p60.aspx?utm_medium=cse&utm_source=shoppingcom,15.94,17.95,,"This program is traditional, and uses scripture for practice. Each colorful book contains approx. 175 pages, 27 - 32 weekly lessons with writing practice pages in the back and are consumable. Level A would be 1st grade, level B is 2nd, etc. The new Transition Book is to be used as a substitute for Level B, or Level C. If you want to introduce cursive to your second grader , then you would omit Level B. If you want to wait till 3rd grade to introduce cursive, then omit Level C. In Level B, each weekly . . .",http://cdn.nexternal.com/rocksolid/images/10-85390.jpg,"Language Arts, Handwriting, Reason For Handwriting",New,Yes,1.25,32218,No,"59, 61, 64",1
61,9780936785417,9780936785417,,A Reason For Handwriting C - Cursive,https://shop.rocksolidinc.com/a-reason-for-handwriting-c---cursive-p61.aspx?utm_medium=cse&utm_source=shoppingcom,15.94,17.95,,"This program is traditional, and uses scripture for practice. Each colorful book contains approx. 175 pages, 27 - 32 weekly lessons with writing practice pages in the back and are consumable. Level A would be 1st grade, level B is 2nd, etc. The new Transition Book is to be used as a substitute for Level B, or Level C. If you want to introduce cursive to your second grader , then you would omit Level B. If you want to wait till 3rd grade to introduce cursive, then omit Level C. In levels C, D, E, . . .",http://cdn.nexternal.com/rocksolid/images/10-85411.jpg,"Language Arts, Handwriting, Reason For Handwriting",New,Yes,1.25,32218,No,"62, 63, 60",1
62,9780936785424,9780936785424,,A Reason For Handwriting D - Cursive,https://shop.rocksolidinc.com/a-reason-for-handwriting-d---cursive-p62.aspx?utm_medium=cse&utm_source=shoppingcom,15.94,17.95,,"This program is traditional, and uses scripture for practice. Each colorful book contains approx. 175 pages, 27 - 32 weekly lessons with writing practice pages in the back and are consumable. Level A would be 1st grade, level B is 2nd, etc. The new Transition Book is to be used as a substitute for Level B, or Level C. If you want to introduce cursive to your second grader , then you would omit Level B. If you want to wait till 3rd grade to introduce cursive, then omit Level C. In levels C, D, E, . . .",http://cdn.nexternal.com/rocksolid/images/10-85420.jpg,"Language Arts, Handwriting, Reason For Handwriting",New,Yes,1.25,32218,No,"2240, 61, 63",1
